object_id,registration_no,collection,recovery_method,locality,municipality,state_department,country,period,context_id,context_no,context_type,sample_id_object,date_BP_object,date_error_object,sample_id_context,date_BP_context,date_error_context,object_function,representation,representation_gender,forming_method,composite_id,individual_ids,composite_type,no_components,weight,composite_weight,area_of_analysis,method,copper_in_FA,cu,cu_precision,ag,ag_precision,au,au_precision,pt,pt_precision,references
11,O05098,Museo del Oro,Non-archaeological (location unknown),NA,NA,NA,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Votive figure,With child,Female,Lost-wax cast,NA,NA,NA,NA,27.15,NA,NA,mXRF,NA,98.49,2,0.61,2,0.9,2,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
12,O06091,Museo del Oro,Non-archaeological (locality known),San Miguel,Fusagasugá,Cundinamarca,Colombia,Muisca,1,O06091-111,Offering,NA,NA,NA,NA,NA,NA,Votive figure,Chief on litter,NA,Lost-wax cast,NA,NA,NA,NA,83.7,NA,NA,mXRF,NA,99.32,2,0.15,2,0.53,2,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
13,O06093,Museo del Oro,Non-archaeological (locality known),San Miguel,Fusagasugá,Cundinamarca,Colombia,Muisca,1,O06091-111,Offering,NA,NA,NA,NA,NA,NA,Votive figure,Seated holding knees,NA,Lost-wax cast with core,NA,NA,NA,NA,53.15,NA,NA,mXRF,NA,99.5,2,0.11,2,0.38,2,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
14,O06095,Museo del Oro,Non-archaeological (locality known),San Miguel,Fusagasugá,Cundinamarca,Colombia,Muisca,1,O06091-111,Offering,NA,NA,NA,NA,NA,NA,Votive figure,Seated holding knees,NA,Lost-wax cast with core,NA,NA,NA,NA,27.85,NA,NA,mXRF,NA,96.42,2,0.75,2,2.83,2,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
15,O06595,Museo del Oro,Non-archaeological (location unknown),NA,NA,NA,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Votive figure,With bird/tray/bag,Male,Lost-wax cast,NA,NA,NA,NA,16.15,NA,NA,mXRF,NA,94.05,2,1.45,2,4.5,2,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
16,O06599,Museo del Oro,Non-archaeological (location unknown),NA,NA,NA,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Votive figure,Seated holding knees,Male,Lost-wax cast,NA,NA,NA,NA,4.7,NA,NA,mXRF,NA,99.11,2,0.45,2,0.45,2,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
17,O08767,Museo del Oro,Non-archaeological (municipality known),Menguí,Moniquirá,Boyacá,Colombia,Muisca,16,"O08756-O08780, O08788-O08819",Burial in cave,NA,NA,NA,NA,NA,NA,Votive figure,NA,Female,Lost-wax cast,NA,NA,NA,NA,4.2,NA,NA,mXRF,NA,92.67,2,1.74,2,5.59,2,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
18,O08771,Museo del Oro,Non-archaeological (municipality known),Menguí,Moniquirá,Boyacá,Colombia,Muisca,16,"O08756-O08780, O08788-O08819",Burial in cave,NA,NA,NA,NA,NA,NA,Melting ingot,NA,NA,Melted,NA,NA,NA,NA,9.7,NA,NA,XRF,NA,70,0,0,0,0,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
19,O09069,Museo del Oro,Non-archaeological (locality known),Laguna de Fúquene,Susa,Cundinamarca,Colombia,Muisca,154,O09048-O09091,NA,NA,NA,NA,NA,NA,NA,Melting ingot,NA,NA,Melted,NA,NA,NA,NA,15.5,NA,NA,XRF,NA,56,0,5,0,13,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
20,O09071,Museo del Oro,Non-archaeological (locality known),Laguna de Fúquene,Susa,Cundinamarca,Colombia,Muisca,154,O09048-O09091,NA,NA,NA,NA,NA,NA,NA,Melting ingot,NA,NA,Melted,NA,NA,NA,NA,8.9,NA,NA,XRF,NA,27,0,14,0,27,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
21,O09072,Museo del Oro,Non-archaeological (locality known),Laguna de Fúquene,Susa,Cundinamarca,Colombia,Muisca,154,O09048-O09091,NA,NA,NA,NA,NA,NA,NA,Melting ingot,NA,NA,Melted,NA,NA,NA,NA,5.4,NA,NA,XRF,NA,15,0,19,0,41,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
22,O09687,Museo del Oro,Non-archaeological (locality known),"Vda. El Toro, La Cascada",Buenavista,Boyacá,Colombia,Muisca,18,O09687,Water course,NA,NA,NA,NA,NA,NA,Melting ingot,NA,NA,Melted,NA,NA,NA,NA,2.6,NA,NA,XRF,NA,23,0,12,0,40,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
23,O14780,Museo del Oro,Non-archaeological (locality known),Santo Domingo,Buenavista,Boyacá,Colombia,Muisca,122,O14768-O14780,NA,NA,NA,NA,NA,NA,NA,Melting ingot,NA,NA,Melted,NA,NA,NA,NA,33.2,NA,NA,XRF,NA,86,0,0,0,0,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
24,O18005,Museo del Oro,Non-archaeological (locality known),Vda. Pedregal Alto,Sutamarchán,Boyacá,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pendant,Bird (schematic),NA,Lost-wax cast,NA,NA,NA,NA,12.2,NA,NA,AAS,NA,62.2,1,4,1,27.5,1,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
25,O19545,Museo del Oro,Non-archaeological (municipality known),NA,Sogamoso,Boyacá,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Votive figure,Heavily adorned,Female,Lost-wax cast,NA,NA,NA,NA,NA,NA,NA,mXRF,NA,88.88,2,2.89,2,8.23,2,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
26,O20454,Museo del Oro,Non-archaeological (municipality known),NA,Soacha,Cundinamarca,Colombia,Muisca,2,O20451-6,Offering,NA,NA,NA,NA,NA,NA,Votive figure,With staffs/birds,Male,Lost-wax cast,NA,NA,NA,NA,8.7,NA,NA,mXRF,NA,99.56,2,0.07,2,0.37,2,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
27,O20455,Museo del Oro,Non-archaeological (municipality known),NA,Soacha,Cundinamarca,Colombia,Muisca,2,O20451-6,Offering,NA,NA,NA,NA,NA,NA,Votive figure,Seated holding knees,Female,Lost-wax cast,NA,NA,NA,NA,5,NA,NA,mXRF,NA,92.75,2,1.38,2,5.87,2,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
28,O22750,Museo del Oro,Non-archaeological (municipality known),NA,Guasca,Cundinamarca,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Votive figure,NA,Male,Lost-wax cast,NA,NA,NA,NA,2,NA,NA,AAS,NA,53.4,1,6.7,1,15.2,1,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
29,O25838,Museo del Oro,Non-archaeological (locality known),Vda. Corrales,Pasca,Cundinamarca,Colombia,Late Muisca,82,O25838-O25847,NA,NA,NA,NA,Beta-159532,1210,40,Votive figure,NA,NA,Lost-wax cast with core,NA,NA,NA,NA,NA,NA,NA,mXRF,NA,99.39,2,0.29,2,0.37,2,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
30,O30624,Museo del Oro,Non-archaeological (municipality known),NA,Fontibón,"Bogotá, D.C.",Colombia,Muisca,3,O30623-43,Offering in open-site inside ceramic vessel,NA,NA,NA,NA,NA,NA,Votive figure,With weapons,Male,Lost-wax cast,NA,NA,NA,NA,9.25,NA,NA,AAS,NA,5.9,1,12.5,1,69.3,1,NA,NA,"Lleras Pérez, 1999; Londoño Laverde, 1986; Uribe Villegas and Martinón-Torres, 2012"
31,O30625,Museo del Oro,Non-archaeological (municipality known),NA,Fontibón,"Bogotá, D.C.",Colombia,Muisca,3,O30623-43,Offering in open-site inside ceramic vessel,NA,NA,NA,NA,NA,NA,Votive figure,With weapons,Male,Lost-wax cast,NA,NA,NA,NA,6.15,NA,NA,AAS,NA,27.8,1,12.7,1,57.6,1,NA,NA,"Lleras Pérez, 1999; Londoño Laverde, 1986; Uribe Villegas and Martinón-Torres, 2012"
32,O30626,Museo del Oro,Non-archaeological (municipality known),NA,Fontibón,"Bogotá, D.C.",Colombia,Muisca,3,O30623-43,Offering in open-site inside ceramic vessel,NA,NA,NA,NA,NA,NA,Votive figure,With staff,Male,Lost-wax cast,NA,NA,NA,NA,6.9,NA,NA,AAS,NA,3.5,1,15.6,1,76.8,1,NA,NA,"Lleras Pérez, 1999; Londoño Laverde, 1986; Uribe Villegas and Martinón-Torres, 2012"
33,O30627,Museo del Oro,Non-archaeological (municipality known),NA,Fontibón,"Bogotá, D.C.",Colombia,Muisca,3,O30623-43,Offering in open-site inside ceramic vessel,NA,NA,NA,NA,NA,NA,Votive figure,With weapons,Male,Lost-wax cast,NA,NA,NA,NA,4.9,NA,NA,AAS,NA,17.9,1,14.5,1,66.2,1,NA,NA,"Lleras Pérez, 1999; Londoño Laverde, 1986; Uribe Villegas and Martinón-Torres, 2012"
34,O30628,Museo del Oro,Non-archaeological (municipality known),NA,Fontibón,"Bogotá, D.C.",Colombia,Muisca,3,O30623-43,Offering in open-site inside ceramic vessel,NA,NA,NA,NA,NA,NA,Votive figure,With weapons,Male,Lost-wax cast,NA,NA,NA,NA,7.15,NA,NA,AAS,NA,6,1,17.6,1,70.6,1,NA,NA,"Lleras Pérez, 1999; Londoño Laverde, 1986; Uribe Villegas and Martinón-Torres, 2012"
35,O30629,Museo del Oro,Non-archaeological (municipality known),NA,Fontibón,"Bogotá, D.C.",Colombia,Muisca,3,O30623-43,Offering in open-site inside ceramic vessel,NA,NA,NA,NA,NA,NA,Votive figure,With weapons,Male,Lost-wax cast,NA,NA,NA,NA,8.85,NA,NA,AAS,NA,16.8,1,19.4,1,62.9,1,NA,NA,"Lleras Pérez, 1999; Londoño Laverde, 1986; Uribe Villegas and Martinón-Torres, 2012"
36,O30630,Museo del Oro,Non-archaeological (municipality known),NA,Fontibón,"Bogotá, D.C.",Colombia,Muisca,3,O30623-43,Offering in open-site inside ceramic vessel,NA,NA,NA,NA,NA,NA,Votive figure,With staff,Male,Lost-wax cast,NA,NA,NA,NA,4,NA,NA,AAS,NA,10.5,1,15.6,1,68.2,1,NA,NA,"Lleras Pérez, 1999; Londoño Laverde, 1986; Uribe Villegas and Martinón-Torres, 2012"
37,O30631,Museo del Oro,Non-archaeological (municipality known),NA,Fontibón,"Bogotá, D.C.",Colombia,Muisca,3,O30623-43,Offering in open-site inside ceramic vessel,NA,NA,NA,NA,NA,NA,Votive figure,Feline (jaguar) pelt),NA,Lost-wax cast,NA,NA,NA,NA,6.1,NA,NA,AAS,NA,38.5,1,10.6,1,45.2,1,NA,NA,"Lleras Pérez, 1999; Londoño Laverde, 1986; Uribe Villegas and Martinón-Torres, 2012"
38,O30632,Museo del Oro,Non-archaeological (municipality known),NA,Fontibón,"Bogotá, D.C.",Colombia,Muisca,3,O30623-43,Offering in open-site inside ceramic vessel,NA,NA,NA,NA,NA,NA,Votive figure,NA,NA,Lost-wax cast,NA,NA,NA,NA,3.65,NA,NA,AAS,NA,11.1,1,15.3,1,71.1,1,NA,NA,"Lleras Pérez, 1999; Londoño Laverde, 1986; Uribe Villegas and Martinón-Torres, 2012"
39,O30633,Museo del Oro,Non-archaeological (municipality known),NA,Fontibón,"Bogotá, D.C.",Colombia,Muisca,3,O30623-43,Offering in open-site inside ceramic vessel,NA,NA,NA,NA,NA,NA,Votive figure,NA,NA,Lost-wax cast,NA,NA,NA,NA,7.35,NA,NA,AAS,NA,11.1,1,11.9,1,76.3,1,NA,NA,"Lleras Pérez, 1999; Londoño Laverde, 1986; Uribe Villegas and Martinón-Torres, 2012"
40,O30634,Museo del Oro,Non-archaeological (municipality known),NA,Fontibón,"Bogotá, D.C.",Colombia,Muisca,3,O30623-43,Offering in open-site inside ceramic vessel,NA,NA,NA,NA,NA,NA,Votive figure,NA,NA,Lost-wax cast,NA,NA,NA,NA,2.5,NA,NA,AAS,NA,15.6,1,13.9,1,66.9,1,NA,NA,"Lleras Pérez, 1999; Londoño Laverde, 1986; Uribe Villegas and Martinón-Torres, 2012"
41,O30635,Museo del Oro,Non-archaeological (municipality known),NA,Fontibón,"Bogotá, D.C.",Colombia,Muisca,3,O30623-43,Offering in open-site inside ceramic vessel,NA,NA,NA,NA,NA,NA,Votive figure,NA,NA,Lost-wax cast,NA,NA,NA,NA,4.2,NA,NA,AAS,NA,11.8,1,12.4,1,67.4,1,NA,NA,"Lleras Pérez, 1999; Londoño Laverde, 1986; Uribe Villegas and Martinón-Torres, 2012"
42,O30636,Museo del Oro,Non-archaeological (municipality known),NA,Fontibón,"Bogotá, D.C.",Colombia,Muisca,3,O30623-43,Offering in open-site inside ceramic vessel,NA,NA,NA,NA,NA,NA,Votive figure,NA,NA,Lost-wax cast,NA,NA,NA,NA,3.6,NA,NA,AAS,NA,0.7,1,12.2,1,78.3,1,NA,NA,"Lleras Pérez, 1999; Londoño Laverde, 1986; Uribe Villegas and Martinón-Torres, 2012"
43,O30637,Museo del Oro,Non-archaeological (municipality known),NA,Fontibón,"Bogotá, D.C.",Colombia,Muisca,3,O30623-43,Offering in open-site inside ceramic vessel,NA,NA,NA,NA,NA,NA,Votive figure,NA,NA,Lost-wax cast,NA,NA,NA,NA,2.5,NA,NA,AAS,NA,16.1,1,12.2,1,64.9,1,NA,NA,"Lleras Pérez, 1999; Londoño Laverde, 1986; Uribe Villegas and Martinón-Torres, 2012"
44,O30638,Museo del Oro,Non-archaeological (municipality known),NA,Fontibón,"Bogotá, D.C.",Colombia,Muisca,3,O30623-43,Offering in open-site inside ceramic vessel,NA,NA,NA,NA,NA,NA,Votive figure,NA,NA,Lost-wax cast,NA,NA,NA,NA,0.75,NA,NA,AAS,NA,56.9,1,8.4,1,30.6,1,NA,NA,"Lleras Pérez, 1999; Londoño Laverde, 1986; Uribe Villegas and Martinón-Torres, 2012"
45,O30639,Museo del Oro,Non-archaeological (municipality known),NA,Fontibón,"Bogotá, D.C.",Colombia,Muisca,3,O30623-43,Offering in open-site inside ceramic vessel,NA,NA,NA,NA,NA,NA,Votive figure,NA,NA,Lost-wax cast,NA,NA,NA,NA,0.9,NA,NA,AAS,NA,61.6,1,6.7,1,30.8,1,NA,NA,"Lleras Pérez, 1999; Londoño Laverde, 1986; Uribe Villegas and Martinón-Torres, 2012"
46,O30640,Museo del Oro,Non-archaeological (municipality known),NA,Fontibón,"Bogotá, D.C.",Colombia,Muisca,3,O30623-43,Offering in open-site inside ceramic vessel,NA,NA,NA,NA,NA,NA,Votive figure,NA,NA,Lost-wax cast,NA,NA,NA,NA,3.55,NA,NA,AAS,NA,21.9,1,10.4,1,59.9,1,NA,NA,"Lleras Pérez, 1999; Londoño Laverde, 1986; Uribe Villegas and Martinón-Torres, 2012"
47,O30641,Museo del Oro,Non-archaeological (municipality known),NA,Fontibón,"Bogotá, D.C.",Colombia,Muisca,3,O30623-43,Offering in open-site inside ceramic vessel,NA,NA,NA,NA,NA,NA,Openwork item,NA,NA,Lost-wax cast,NA,NA,NA,NA,2.9,NA,NA,AAS,NA,7.8,1,14.5,1,75,1,NA,NA,"Lleras Pérez, 1999; Londoño Laverde, 1986; Uribe Villegas and Martinón-Torres, 2012"
48,O30642,Museo del Oro,Non-archaeological (municipality known),NA,Fontibón,"Bogotá, D.C.",Colombia,Muisca,3,O30623-43,Offering in open-site inside ceramic vessel,NA,NA,NA,NA,NA,NA,Openwork item,NA,NA,Lost-wax cast,NA,NA,NA,NA,2.5,NA,NA,AAS,NA,28.4,1,12.7,1,56.4,1,NA,NA,"Lleras Pérez, 1999; Londoño Laverde, 1986; Uribe Villegas and Martinón-Torres, 2012"
49,O33636,Museo del Oro,Non-archaeological (municipality known),NA,Pasca,Cundinamarca,Colombia,Muisca,4,O33636-8,Offering in cave inside ceramic vessel,NA,NA,NA,NA,NA,NA,Votive figure,NA,Female,Lost-wax cast,NA,NA,NA,NA,59.24,NA,NA,XRF,NA,22.3,1,8.1,1,69.5,1,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
50,O33637,Museo del Oro,Non-archaeological (municipality known),NA,Pasca,Cundinamarca,Colombia,Muisca,4,O33636-8,Offering in cave inside ceramic vessel,NA,NA,NA,NA,NA,NA,Votive figure,With staff,Male,Lost-wax cast,NA,NA,NA,NA,29.18,NA,NA,XRF,NA,22.3,1,8.1,1,69.5,1,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
51,O33638,Museo del Oro,Non-archaeological (municipality known),NA,Pasca,Cundinamarca,Colombia,Muisca,4,O33636-8,Offering in cave inside ceramic vessel,NA,NA,NA,NA,NA,NA,Votive figure,With staff,Male,Lost-wax cast,NA,NA,NA,NA,21.07,NA,NA,XRF,NA,22.3,1,8.1,1,69.5,1,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
52,O33674,Museo del Oro,Non-archaeological (municipality known),NA,Jenesano,Boyacá,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ear pendant,NA,NA,Lost-wax cast,NA,NA,NA,NA,9.65,NA,NA,XRF,NA,15.1,1,6.9,1,78,1,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
53,O33675,Museo del Oro,Non-archaeological (municipality known),NA,Jenesano,Boyacá,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ear pendant,NA,NA,Lost-wax cast,NA,NA,NA,NA,9.15,NA,NA,XRF,NA,16,0,7,0,77,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
54,O33685,Museo del Oro,Non-archaeological (municipality known),NA,Quetame,Cundinamarca,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Votive figure,NA,NA,Lost-wax cast,NA,NA,NA,NA,5.71,NA,NA,XRF,NA,3.2,1,5.5,1,91.3,1,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
55,O33688,Museo del Oro,Non-archaeological (municipality known),NA,Jenesano,Boyacá,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bead,Fish (two conjoined),NA,Lost-wax cast,NA,NA,NA,NA,3.1,NA,NA,XRF,NA,12,0,12,0,76,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
56,O33693,Museo del Oro,Non-archaeological (municipality known),NA,Cajicá,Cundinamarca,Colombia,Muisca,5,O33693-7,Offering,NA,NA,NA,NA,NA,NA,Votive figure,NA,NA,Lost-wax cast,NA,NA,NA,NA,4.87,NA,NA,XRF,NA,16,0,5,0,79,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
57,O33694,Museo del Oro,Non-archaeological (municipality known),NA,Cajicá,Cundinamarca,Colombia,Muisca,5,O33693-7,Offering,NA,NA,NA,NA,NA,NA,Votive figure,NA,NA,Lost-wax cast,NA,NA,NA,NA,1.9,NA,NA,XRF,NA,6,0,6,0,88,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
58,O33695,Museo del Oro,Non-archaeological (municipality known),NA,Cajicá,Cundinamarca,Colombia,Muisca,5,O33693-7,Offering,NA,NA,NA,NA,NA,NA,Votive figure,NA,NA,Lost-wax cast,NA,NA,NA,NA,2.1,NA,NA,XRF,NA,1,0,6,0,93,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
59,O33696,Museo del Oro,Non-archaeological (municipality known),NA,Cajicá,Cundinamarca,Colombia,Muisca,5,O33693-7,Offering,NA,NA,NA,NA,NA,NA,Votive figure,NA,NA,Lost-wax cast,NA,NA,NA,NA,1.1,NA,NA,XRF,NA,59,0,3,0,38,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
60,O33697,Museo del Oro,Non-archaeological (municipality known),NA,Cajicá,Cundinamarca,Colombia,Muisca,5,O33693-7,Offering,NA,NA,NA,NA,NA,NA,Wire,NA,NA,Lost-wax cast,NA,NA,NA,NA,0.19,NA,NA,XRF,NA,6,0,5,0,89,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
61,O33701,Museo del Oro,Non-archaeological (location unknown),NA,NA,NA,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Breastplate,NA,NA,Lost-wax cast,NA,NA,NA,NA,26.3,NA,NA,XRF,NA,3,0,6,0,91,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
62,O33702,Museo del Oro,Non-archaeological (location unknown),NA,NA,NA,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Breastplate,NA,NA,Lost-wax cast,NA,NA,NA,NA,54.9,NA,NA,XRF,NA,7,0,7,0,86,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
63,O33703,Museo del Oro,Non-archaeological (location unknown),NA,NA,NA,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Breastplate,NA,NA,Lost-wax cast,NA,NA,NA,NA,58.5,NA,NA,XRF,NA,5,0,7,0,88,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
64,O33704,Museo del Oro,Non-archaeological (location unknown),NA,NA,NA,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ear pendant,NA,NA,Lost-wax cast,NA,NA,NA,NA,17.17,NA,NA,XRF,NA,7,0,7,0,86,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
65,O33705,Museo del Oro,Non-archaeological (location unknown),NA,NA,NA,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ear pendant,NA,NA,Lost-wax cast,NA,NA,NA,NA,16.18,NA,NA,XRF,NA,8,0,7,0,85,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
66,O33706,Museo del Oro,Non-archaeological (location unknown),NA,NA,NA,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bead necklace,NA,NA,Lost-wax cast,11,66,Necklace,20,NA,21.21,NA,XRF,NA,5,0,11,0,84,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
67,O33707,Museo del Oro,Non-archaeological (location unknown),NA,NA,NA,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bead necklace,NA,NA,Lost-wax cast with matrix,12,67,Necklace,38,NA,20.55,NA,XRF,NA,6,0,9,0,85,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
68,O33708,Museo del Oro,Non-archaeological (location unknown),NA,NA,NA,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bead necklace,NA,NA,Lost-wax cast with matrix,13,68,Necklace,36,NA,20.2,NA,XRF,NA,7,0,14,0,79,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
69,O33720,Museo del Oro,Non-archaeological (location unknown),NA,NA,NA,Colombia,Muisca,NA,NA,NA,Beta-374225,890,30,NA,NA,NA,Votive figure,With staff and child,Female,Lost-wax cast with core,NA,NA,NA,NA,16.25,NA,NA,XRF,NA,17,0,8,0,75,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
70,O33721,Museo del Oro,Non-archaeological (location unknown),NA,NA,NA,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Votive figure,NA,Male,Lost-wax cast with core,NA,NA,NA,NA,27.48,NA,NA,XRF,NA,10,0,4,0,86,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
73,O33724,Museo del Oro,Non-archaeological (location unknown),NA,NA,NA,Colombia,Muisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Votive figure,With weapons,Male,Lost-wax cast with core,NA,NA,NA,NA,19.97,NA,NA,XRF,NA,15,0,4,0,81,0,NA,NA,"Uribe Villegas and Martinón-Torres, 2012"
